Product Name,Advisory Number,Date Posted
Povidone Betadine 60ml,FDA Advisory No. 2020-2106,2020-12-15
Calcium Gluconate Injection 10mg:1g,FDA Advisory No. 2020-2107,2020-12-15
Cisen® Dexamethasone Sodium Phosphate Injection 1ml:5mg,FDA Advisory No. 2020-2107,2020-12-15
Compound Aminophenazone and Barbital Injection 2mL,FDA Advisory No. 2020-2107,2020-12-15
Lilaijianua® Jie Jiu Ling 10ml,FDA Advisory No. 2020-2107,2020-12-15
Super Man Ren Chu You® Spray 15ml,FDA Advisory No. 2020-2107,2020-12-15
Atrovent® 2ml:500μg,FDA Advisory No. 2020-2108,2020-12-15
Cefradine For Injection 0.5g,FDA Advisory No. 2020-2108,2020-12-15
OTC Houtongling Keli,FDA Advisory No. 2020-2108,2020-12-15
OTC Kesutingtangjiang 100ml,FDA Advisory No. 2020-2108,2020-12-15
Oc Mentholatum 150ml,FDA Advisory No. 2020-2108,2020-12-15
Epinephrine Hydrochloride Injection 1ml:1mg,FDA Advisory No. 2020-2109,2020-12-15
Furosemide Injection 2ml:20mg,FDA Advisory No. 2020-2109,2020-12-15
Hangover CupTM JZ 6g,FDA Advisory No. 2020-2109,2020-12-15
Lidocaine Hydrochloride Injection (For Solvent)-Yansuan Liduokayin Zhusheye (Rongjiyang),FDA Advisory No. 2020-2109,2020-12-15
Topfond® Gentamycin Sulfate Injection,FDA Advisory No. 2020-2109,2020-12-15
1-Ostealgia Plaster Far-Infrared Anti-inflammatory Analgesic Paste,FDA Advisory No. 2020-2110,2020-12-15
Terbinafine (Noali®) 10mg/g (1%) Cream,FDA Advisory No. 2020-2110,2020-12-15
Azithromycin For Injection 0.25g,FDA Advisory No. 2020-2111,2020-12-15
Fenhuangyi’an Zhusheye 2ml:0.5g,FDA Advisory No. 2020-2111,2020-12-15
Lumeisu Zhusheye 2ml:0.25g,FDA Advisory No. 2020-2111,2020-12-15
OTC Sine® Levonorgestrel Tablets – Zuoquenuoyuntong Pian,FDA Advisory No. 2020-2111,2020-12-15
RHP® Aminophylline Injection 2ml:0.25g,FDA Advisory No. 2020-2111,2020-12-15
Cisen® Vitamin C Injection 2ml:0.5g,FDA Advisory No. 2020-2112,2020-12-15
OTC Kangsen® Xiao Er Zhi Ke Tangjiang,FDA Advisory No. 2020-2112,2020-12-15
Yansuan Linkemeisu Zhusheye 2ml:0.6g,FDA Advisory No. 2020-2112,2020-12-15
Yi Chuang Promethazine Hydrochloride Injection – Yansuan Yibingqin Zhusheye [as reflected in the package insert],FDA Advisory No. 2020-2112,2020-12-15
Zhangshulong® Camphor Tree Brand Safflower Lotion 280ml,FDA Advisory No. 2020-2112,2020-12-15
Kelundayaochang® Glucose Injection 5% 250ml:25g,FDA Advisory No. 2020-2113,2020-12-15
Mecobalamin Injection 1ml:0.5mg,FDA Advisory No. 2020-2113,2020-12-15
Metoclopramide Dihydrochloride Injection 1ml:10mg,FDA Advisory No. 2020-2113,2020-12-15
Sodium Chloride Injection 0.9% 250ml:2.25g,FDA Advisory No. 2020-2113,2020-12-15
[Label in Foreign Language] 100ml:0.9g,FDA Advisory No. 2020-2113,2020-12-15
CSPC® Cefazolin Sodium For Injection 0.5g,FDA Advisory No. 2020-2114,2020-12-16
Clobetasol Propionate Cream 10g,FDA Advisory No. 2020-2114,2020-12-16
OTC Huo Luo You,FDA Advisory No. 2020-2114,2020-12-16
OTC Triamcinolone Acetonide Acetate Cream- Cusuan Qu’annaide Rugao [as reflected in the package insert],FDA Advisory No. 2020-2114,2020-12-16
Sterile Water For Injection 5ml,FDA Advisory No. 2020-2114,2020-12-16
Zynergia AmazingAG A Special Silver Solution Formula,FDA Advisory No. 2020-2115,2020-12-16
Zynergia Cashoo Warts Away! 5.0g,FDA Advisory No. 2020-2115,2020-12-16
Zynergia Menthol+Lime Oil (Express Rub) 36gwt,FDA Advisory No. 2020-2115,2020-12-16
Methyl Salicylate + Menthol + Camphor (BA-USCENT® Luy-A Plus Liniment) with Peppermint 60ml,FDA Advisory No. 2020-2116,2020-12-16
PMS Herbal Vapor Rub with Rosemarie & Bergamot 15grams,FDA Advisory No. 2020-2117,2020-12-16
PMS Since 1998 Citronella Liniment Oil with Pure Herbal Extract 60mL,FDA Advisory No. 2020-2117,2020-12-16
Hallelujah Eucalyptus Roll on Rub All Natural 10ml,FDA Advisory No. 2020-2118,2020-12-16
Hallelujah Negative Ion Roll on Rub All Natural 10ml,FDA Advisory No. 2020-2118,2020-12-16
Hallelujah Rub Negative Ion All Natural 25g,FDA Advisory No. 2020-2118,2020-12-16
Hallelujah Rub Turmeric All Natural 25g,FDA Advisory No. 2020-2118,2020-12-16
Hallelujah Turmeric Roll on Rub All Natural 10ml,FDA Advisory No. 2020-2118,2020-12-16
Cisen® Glucose Injection 20ml:10g,FDA Advisory No. 2020-2119,2020-12-16
Hasen® Metoclopramide Dihydrochloride Injection 1ml:10mg,FDA Advisory No. 2020-2119,2020-12-16
Potassium Sodium Dehydroandrographolide Succinate For Injection 200mg,FDA Advisory No. 2020-2119,2020-12-16
Vitamin B1 Injection 2ml:100mg,FDA Advisory No. 2020-2119,2020-12-16
Yansuan Benhailaming Zhusheye 1ml:20mg,FDA Advisory No. 2020-2119,2020-12-16
Cisen® Glucose Injection 20ml:10g,FDA Advisory No. 2020-2120,2020-12-16
Hasen® Metoclopramide Dihydrochloride Injection 1ml:10mg,FDA Advisory No. 2020-2120,2020-12-16
Potassium Sodium Dehydroandrographolide Succinate For Injection 200mg,FDA Advisory No. 2020-2120,2020-12-16
Vitamin B1 Injection 2ml:100mg,FDA Advisory No. 2020-2120,2020-12-16
Yansuan Benhailaming Zhusheye 1ml:20mg,FDA Advisory No. 2020-2120,2020-12-16
Anaconda 120 (Sildigra-120) Sildenafil Citrate Tablets 120mg,FDA Advisory No. 2020-2129,2020-12-15
CSPC® Potassium Chloride Injection 10ml:1ml,FDA Advisory No. 2020-2131,2020-12-15
CSPC® Vitamin B6 Injection 2ml:0.1g,FDA Advisory No. 2020-2131,2020-12-15
OTC Yangxue Anshen Keli,FDA Advisory No. 2020-2131,2020-12-15
Ribavirin Injection 5ml:0.5g,FDA Advisory No. 2020-2131,2020-12-15
Spray For Men 10ml,FDA Advisory No. 2020-2131,2020-12-15
Philippine Pure Cayenne 350mg Capsule 150’s,FDA Advisory No. 2020-2167,2020-12-16
Natural Balance HDMR Mind and Body Original 12grams,FDA Advisory No. 2020-2168,2020-12-17
H-Rub Happy Essential Rub+ Negative Ion 35grams,FDA Advisory No. 2020-2169,2020-12-17
Armadillo Antipyretic Pills 48’s,FDA Advisory No. 2020-2175,2020-12-28
Hieng Hok® Quick Rheumatism Capsule Tiger Wang Biaod 20’s,FDA Advisory No. 2020-2175,2020-12-28
Qianbai Biyan Pian Tablets 100’s,FDA Advisory No. 2020-2175,2020-12-28
OTC Beidougen Jiaonang Capsule 20’s,FDA Advisory No. 2020-2176,2020-12-28
OTC Qingkailing Jiaonang Capsule 24’s,FDA Advisory No. 2020-2176,2020-12-28
OTC Qumixin Rugao,FDA Advisory No. 2020-2176,2020-12-28
PIC/S GMP NK Pidelon Cream “N.K.” 20 Gm,FDA Advisory No. 2020-2176,2020-12-28
2019 NEW Xiao Shi Tong Niao Pian Tablets 100’s,FDA Advisory No. 2020-2177,2020-12-28
Ching On Tong Cold Syrup for Children Natural Herbs Preparation 120 ml,FDA Advisory No. 2020-2177,2020-12-28
GMP Qualimol 125mg / 5 ml Syrup 120 ml,FDA Advisory No. 2020-2177,2020-12-28
Madame Pearl’s Cough Syrup F2 for Children 60 ml,FDA Advisory No. 2020-2177,2020-12-28
Uni-Febrin Syrup 120 mL,FDA Advisory No. 2020-2177,2020-12-28
Polar Bear Brand Essential Embrocation 3ml,FDA Advisory No. 2020-2211,2021-01-08
OTC Keke® Capsule 12’s,FDA Advisory No. 2020-2212,2021-01-08
OTC Nongsuowan Mingmu Dihuangwan Pellet 100’s,FDA Advisory No. 2020-2212,2021-01-08
Xuezhikang Jiaonang Capsule 12’s,FDA Advisory No. 2020-2212,2021-01-08
Barros Native Tuba Tuba Oil Liniment,FDA Advisory No. 2021-0001,2021-01-12
NoBiteTM 60ml,FDA Advisory No. 2021-0001,2021-01-12
Norash 25 gms,FDA Advisory No. 2021-0001,2021-01-12
Norash 75 gms,FDA Advisory No. 2021-0001,2021-01-12
CISEN® H37021756 5% 250ml 12.5g [Label in Foreign Language],FDA Advisory No. 2021-0006,2021-01-13
CISEN® H37021825 5% 500ml:25g [Label in Foreign Language],FDA Advisory No. 2021-0006,2021-01-13
Jinkui Shenqi Wan,FDA Advisory No. 2021-0006,2021-01-13
Josamycin Tablets 0.2g,FDA Advisory No. 2021-0006,2021-01-13
OTC Z44022627 [Label in Foreign Language],FDA Advisory No. 2021-0006,2021-01-13
CISEN® Levofloxacin Lactate and Sodium Chloride Injection 100ml:0.2g,FDA Advisory No. 2021-0007,2021-01-13
Levofloxacin Hydrochloride Tablets 0.1g,FDA Advisory No. 2021-0007,2021-01-13
OTC Bei® Kangbingdukoufuye,FDA Advisory No. 2021-0007,2021-01-13
OTC Musk Hemorrhoids Ointment,FDA Advisory No. 2021-0007,2021-01-13
SINE® Lincomycin Hydrochloride Injection 2ml : 0.6g,FDA Advisory No. 2021-0007,2021-01-13
CISEN® H37021822 250ml [Label in Foreign Language],FDA Advisory No. 2021-0008,2021-01-13
GB15979 12g [Label in foreign Language],FDA Advisory No. 2021-0008,2021-01-13
OTC Guo Guang® Z50020601 [Label in Foreign Language],FDA Advisory No. 2021-0008,2021-01-13
OTC Z34020127 [Label in Foreign Language],FDA Advisory No. 2021-0008,2021-01-13
SPH H31020387 [Label in Foreign Language],FDA Advisory No. 2021-0008,2021-01-13
A Qi Mei Su Fen San Pian,FDA Advisory No. 2021-0009,2021-01-13
Erythromycin Estolate Tablets,FDA Advisory No. 2021-0009,2021-01-13
OTC Anshenbunaoye,FDA Advisory No. 2021-0009,2021-01-13
OTC Huoxiang Zhengqi Shui,FDA Advisory No. 2021-0009,2021-01-13
OTC [Label in Foreign Language],FDA Advisory No. 2021-0009,2021-01-13
HUIFA® Zhisuningpian,FDA Advisory No. 2021-0032-A,2021-01-18
KL® Sodium Chloride Injection 0.9% 500ml:4.5g,FDA Advisory No. 2021-0032,2021-01-18
OTC F® Z51020114 [Label in Foreign Language],FDA Advisory No. 2021-0032,2021-01-18
OTC H20003790 [Label in Foreign Language],FDA Advisory No. 2021-0032,2021-01-18
OTC Zhibai Dihuang Wan,FDA Advisory No. 2021-0032,2021-01-18
Xinshenghua Keli,FDA Advisory No. 2021-0032,2021-01-18
Zithromax® Azithromycin For Suspension 0.1g,FDA Advisory No. 2021-0032,2021-01-18
MAXI Atletika Health and Well-being Soap 60g,FDA Advisory No. 2021-0063,2021-01-27
Co Pharm Petroleum Jelly 50g,FDA Advisory No. 2021-0064,2021-01-27
Kiyeski Electrostatic Physiotherapeutic Plaster,FDA Advisory No. 2021-0065,2021-01-27
OTC Tiger Balm Ointment,FDA Advisory No. 2021-0138,2021-01-29
Ohta Ohta’s Isan 75g,FDA Advisory No. 2021-0138,2021-01-29
Shell Stomach Ache Powder 60g,FDA Advisory No. 2021-0138,2021-01-29
Golden Sun Cefradine Capsules 0.25 g,FDA Advisory No. 2021-0139-A,2021-01-29
Junmiao Tang Tong Jing Tie,FDA Advisory No. 2021-0139-A,2021-01-29
OTC Rohto Compound Taurine Eye Drops-Fufang Niuhuang Suan Diyanye [as reflected in the package insert],FDA Advisory No. 2021-0139-A,2021-01-29
OTC San Huang Pian,FDA Advisory No. 2021-0139-A,2021-01-29
Refined Sea-Horse Expelling Rheumatism Plaster,FDA Advisory No. 2021-0139-A,2021-01-29
Flunarizine Hydrochloride Capsules-Yansuan Fuguiligin Jiaonang [as reflected in the package insert],FDA Advisory No. 2021-0140,2021-02-01
Hangcaozhichuanggao 15g,FDA Advisory No. 2021-0140,2021-02-01
LS®BL Compound Ketoconazole Cream-Fufang Tongkangzuo Ruangao [as reflected in the package insert],FDA Advisory No. 2021-0140,2021-02-01
OTC Jiuhua Zhi Chuang Shuan,FDA Advisory No. 2021-0140,2021-02-01
OTC Levonorgestrel Tablets (Yuting®) [as reflected in the package insert],FDA Advisory No. 2021-0140,2021-02-01
OTC H42020614 [Label in Foreign Language],FDA Advisory No. 2021-0141,2021-02-01
OTC Sanqi Pian,FDA Advisory No. 2021-0141,2021-02-01
PIC/S GMP Ampamts Ointment “ Shiteh” 15g,FDA Advisory No. 2021-0141,2021-02-01
Po Chai Pills Bottle Form,FDA Advisory No. 2021-0141,2021-02-01
Bing Bing,FDA Advisory No. 2021-0142,2021-02-01
OTC 999® Qiangli Pipalu 120 ml [as reflected in the package insert],FDA Advisory No. 2021-0142,2021-02-01
OTC Fishing Lee Man Shan Pills Fishing Brand 35 Pills.,FDA Advisory No. 2021-0142,2021-02-01
OTC Salicylic Acid and Phenol Plasters,FDA Advisory No. 2021-0142,2021-02-01
OTC Trumpet Brand Gastrointestinal Pills (Seirogan ®) 100 Pills,FDA Advisory No. 2021-0142,2021-02-01
Compound Bendazol and Hydrochlorothiazide [as reflected in the primary packaging],FDA Advisory No. 2021-0143,2021-02-01
OTC Domperidone Tablets-Duopanlitong Pian [as reflected in the package insert],FDA Advisory No. 2021-0143,2021-02-01
OTC Levonorgestrel Enteric-coated Tablets,FDA Advisory No. 2021-0143,2021-02-01
OTC Liuwei Dihuang Wan,FDA Advisory No. 2021-0143,2021-02-01
Yatai Roxithromycin Capsule 0.15g,FDA Advisory No. 2021-0143,2021-02-01
Minocin Minocycline Hydrochloride Capsule 100mg,FDA Advisory No. 2021-0144,2021-02-01
OTC Loratadine Tablets- Lü Lei Ta Ding Pian [as reflected in the package insert],FDA Advisory No. 2021-0144,2021-02-01
"OTC Paracetamol, Caffeine and Aspirin Powder",FDA Advisory No. 2021-0144,2021-02-01
OTC Tongren Wuji Baifeng Wan [as reflected in the package insert],FDA Advisory No. 2021-0144,2021-02-01
Tong Ren Tan Niu Huang Jie Du Pian 0.6g Tablet,FDA Advisory No. 2021-0144,2021-02-01
OTC Miao Medicine Fushu Zhiyanggao,FDA Advisory No. 2021-0145,2021-02-01
Kelundayaochang® Sodium Bicarbonate Injection 250ml,FDA Advisory No. 2021-0171,2021-02-03
Qinggong® – Sihuang Qingxin Wan [as reflected in the package insert],FDA Advisory No. 2021-0171,2021-02-03
Xi Gua Shuang Spray 30ml,FDA Advisory No. 2021-0171,2021-02-03
Yi Yong Leng Fu Tie,FDA Advisory No. 2021-0171,2021-02-03
ZBT WenXin Keli Sachets 9’s [as reflected in the package insert],FDA Advisory No. 2021-0171,2021-02-03
Coenzyme A for Injection,FDA Advisory No. 2021-0172,2021-02-03
Herbs Itching Antibacterial Ointment 20g,FDA Advisory No. 2021-0172,2021-02-03
OTC Erythromycin Ointment – Hongmeisu Ruangao [as reflected inside the box],FDA Advisory No. 2021-0172,2021-02-03
OTC Livzon Cetirizine Hydrochloride Tablets Yansuan Xitiliqin Pian [as reflected in the package insert],FDA Advisory No. 2021-0172,2021-02-03
OTC Taiji® SWD Sanlietong [as reflected in the secondary packaging]Compound Paracetamol Tablets (II) Fufang Duiyixian’ anjifen Pian (II) [as reflected in the package insert],FDA Advisory No. 2021-0172,2021-02-03
La Concorde® Levofloxacin Hydrochloride Eye Drops 5ml:15mg,FDA Advisory No. 2021-0173-A,2021-02-03
OTC Hercules® Jinguoyin 90 ml,FDA Advisory No. 2021-0173-A,2021-02-03
OTC Huoxiang Zhengqi Shui,FDA Advisory No. 2021-0173-A,2021-02-03
Oxytocin Injection 1ml:10,FDA Advisory No. 2021-0173-A,2021-02-03
Tong Feng Shu Pian,FDA Advisory No. 2021-0173-A,2021-02-03
Danshenzhusheye 2ml,FDA Advisory No. 2021-0174,2021-02-03
Kaiqiao® Chlorzoxazone Tablets 0.2g,FDA Advisory No. 2021-0174,2021-02-03
OTC Fenghan Ganmao Keli Sachets 9’s [as reflected in the package insert],FDA Advisory No. 2021-0174,2021-02-03
Sine® Amikacin Sulfate Injection 2ml: 0.2g,FDA Advisory No. 2021-0174,2021-02-03
Xinfeng Yaoye® Ganmaoqing Pian,FDA Advisory No. 2021-0174,2021-02-03
Fengliao Changweikang Keli Sachets 9’s,FDA Advisory No. 2021-0175,2021-02-03
Kelundayaochang® Ornidazole Tablets 0.25g,FDA Advisory No. 2021-0175,2021-02-03
Med Shine Tacrolimus Ointment 0.1% – Takemosi Ruangao [as reflected in the package insert],FDA Advisory No. 2021-0175,2021-02-03
OTC Weikangling Jiaonang [as reflected in the package insert],FDA Advisory No. 2021-0175,2021-02-03
SY® Vitamin B12 Injection – Weishengsu B12 Zhusheye 1ml:1mg,FDA Advisory No. 2021-0175,2021-02-03
Cefaclor Capsules 6’s,FDA Advisory No. 2021-0176,2021-02-03
OTC Bayer Saridon Paracetamol 250mg Propyphenazone 150mg Caffeine 50mg,FDA Advisory No. 2021-0176,2021-02-03
"OTC Ulook® Naphazoline Hydrochloride, Chlorphenamine Maleate and Vitamin B12 Eye Drops Naiminwei Diyanye [as reflected in the package insert]",FDA Advisory No. 2021-0176,2021-02-03
Tobramycin Sulfate Injection 2ml:80mg,FDA Advisory No. 2021-0176,2021-02-03
Youcare Lansoprazole Enteric-Coated Tablets – Lansuolazuo Changrongpian,FDA Advisory No. 2021-0176,2021-02-03
OTC F® Yinqiaojiedukeli Sachets 10’s,FDA Advisory No. 2021-0177,2021-02-03
OTC Qingkailing Keli Sachets 10’s,FDA Advisory No. 2021-0177,2021-02-03
OTC Yan Yan Pian,FDA Advisory No. 2021-0177,2021-02-03
OTC Yeast Tablets – Gan Jiao Mu Pian,FDA Advisory No. 2021-0177,2021-02-03
Yaxiang Q/SQYX 006-2015 500ml,FDA Advisory No. 2021-0177,2021-02-03
CCO® Vitamin D2 and Calcium Colloid Injection Ampoule 10’s,FDA Advisory No. 2021-0178,2021-02-03
DUB® Sodium Chloride Injection 0.9% 250ml,FDA Advisory No. 2021-0178,2021-02-03
OTC Manshanbai Tangjiang [as reflected in the package insert],FDA Advisory No. 2021-0178,2021-02-03
SPH Shanghai Pharma Hydroxychloroquine Sulfate Tablets 0.1g,FDA Advisory No. 2021-0178,2021-02-03
ShenglingcaoTM Lang Du,FDA Advisory No. 2021-0178,2021-02-03
Cisen® H20043407 100ml: 0.2g,FDA Advisory No. 2021-0179,2021-02-03
Dexcon® 75% 500ml (Label in foreign language),FDA Advisory No. 2021-0179,2021-02-03
Fp® Mannitol Injection,FDA Advisory No. 2021-0179,2021-02-03
Ganshanhu® Q/JCSH001 3.0% [Label in foreign language],FDA Advisory No. 2021-0179,2021-02-03
OTC Ftibamzone Cream,FDA Advisory No. 2021-0179,2021-02-03
OTC Liuwei Dihuang Wan [as reflected in the package insert],FDA Advisory No. 2021-0180,2021-02-03
OTC Qingxiusuan Youmeishafen Koufurongye,FDA Advisory No. 2021-0180,2021-02-03
Qiangshen® Gentamicin Sulfate Injection 2ml,FDA Advisory No. 2021-0180,2021-02-03
Ribavirin Injection 1ml:100mg,FDA Advisory No. 2021-0180,2021-02-03
Zishuobiyanshuning 20ml,FDA Advisory No. 2021-0180,2021-02-03
Aciclovir for Injection 0.25g,FDA Advisory No. 2021-0181,2021-02-03
Fengliao Changweikang Pian,FDA Advisory No. 2021-0181,2021-02-03
N® Xinshenghua Keli Sachets 10’s,FDA Advisory No. 2021-0181,2021-02-03
OTC Ding Lu Brand® Wei San Sachets 24’s,FDA Advisory No. 2021-0181,2021-02-03
OTC F® Banlangenkeli Sachets 20’s,FDA Advisory No. 2021-0181,2021-02-03
Dexcon® 75% 100mL,FDA Advisory No. 2021-0184,2021-02-04
Erythromycin EthylSuccinate Tablets 0.125g,FDA Advisory No. 2021-0184,2021-02-04
OTC H® Jinhoujian Penwuji,FDA Advisory No. 2021-0184,2021-02-04
OTC Tongbianling Jiaonang,FDA Advisory No. 2021-0184,2021-02-04
Yankening Pian,FDA Advisory No. 2021-0184,2021-02-04
DUB® Glucose Injection 5% 250 ml,FDA Advisory No. 2021-0185,2021-02-04
Kaiherong®,FDA Advisory No. 2021-0185,2021-02-04
OTC 999® Yanyan Pian [as reflected in the package insert],FDA Advisory No. 2021-0185,2021-02-04
OTC Fuke Qianjin Pian,FDA Advisory No. 2021-0185,2021-02-04
OTC Nanhai® Fufang Ku Shen Shui Ang Sunan San,FDA Advisory No. 2021-0185,2021-02-04
AOS Health & Beauty Solutions Vegie MaxTM Essential Oil 60 mL,FDA Advisory No. 2021-188,2021-08-05
CSPC® Galculus Bovis and Metronidazole Capsules,FDA Advisory No. 2021-0188,2021-02-08
Dabaidu Jiaonang,FDA Advisory No. 2021-0188,2021-02-08
Lan Ling® Aminomethylbenzoic Acid Injection 10ml:0.1g,FDA Advisory No. 2021-0188,2021-02-08
OTC Fuyang Keli Sachets 10’s,FDA Advisory No. 2021-0188,2021-02-08
WT® Transfer Factor Oral Solution – Zhuanyiyinzi Koufurongye [as reflected in the package insert],FDA Advisory No. 2021-0188,2021-02-08
Galculus Bovis and Metronidazole Capsules – Rengongniuhuang Jiaxiaozuo Jiaonang [as reflected in the package insert],FDA Advisory No. 2021-0189,2021-02-09
OTC D3 Calcichew® D,FDA Advisory No. 2021-0189,2021-02-09
OTC Dezhong® Paracetamol Tablets Duiyixian’ Anjifen Pian 0.5g [as reflected in the package insert],FDA Advisory No. 2021-0189,2021-02-09
OTC Huacheng® Longdan Xiegan Wan,FDA Advisory No. 2021-0189,2021-02-09
ShenglingcaoTM Vision Eye Drops 12ml,FDA Advisory No. 2021-0189,2021-02-09
H35020178 [Label in foreign language],FDA Advisory No. 2021-0190,2021-02-09
OTC Bupi Yichang Wan [as reflected in the package insert],FDA Advisory No. 2021-0190,2021-02-09
OTC Nysfungin Vaginal Suppositories,FDA Advisory No. 2021-0190,2021-02-09
OTC Sxaoer Sachets,FDA Advisory No. 2021-0190,2021-02-09
"OTC WT® Pediatric Paracetamol, Atificial Cow-bezoar and Chlorphenamine Maleate Granules – Xiao’er Anfen Huang Namin Keli 6g [as reflected in the package insert]",FDA Advisory No. 2021-0190,2021-02-09
Ambroxol Hydrochloride Injection 2ml:15mg,FDA Advisory No. 2021-0191,2021-02-09
Calcium Gluconate Injection 10ml:1g,FDA Advisory No. 2021-0191,2021-02-09
Norfloxacin Capsules 0.1g,FDA Advisory No. 2021-0191,2021-02-09
Potassium Sodium Dehydroandroandrographolide Succinate for Injection 80mg,FDA Advisory No. 2021-0191,2021-02-09
Qiangshen® Lincomycin Hydrochloride Injection 2ml:0.6g,FDA Advisory No. 2021-0191,2021-02-09
OTC Caltrate 600-D,FDA Advisory No. 2021-0192,2021-02-09
OTC Rotundine Tablets – Luotongding Pian [as reflected in the package insert],FDA Advisory No. 2021-0192,2021-02-09
Shenshitong Keli 15g,FDA Advisory No. 2021-0192,2021-02-09
Sterile Water for Injection 2ml,FDA Advisory No. 2021-0192,2021-02-09
Tobramycin Dexamethasone Eye Drops 5ml [as reflected in the secondary packaging],FDA Advisory No. 2021-0192,2021-02-09
EASHU Clarithromycin Tablets 0.125g,FDA Advisory No. 2021-0193,2021-02-09
Metoclopramide Tablets 5mg,FDA Advisory No. 2021-0193,2021-02-09
OTC Nodse Chuanbei Qingfei Tangjiang,FDA Advisory No. 2021-0193,2021-02-09
OTC Shiduqing Pian,FDA Advisory No. 2021-0193,2021-02-09
OTC [Label in Foreign Language],FDA Advisory No. 2021-0193,2021-02-09
Dr. He®,FDA Advisory No. 2021-0194,2021-02-09
Dr. He® Calamine Lotion,FDA Advisory No. 2021-0194,2021-02-09
Iodophor Disinfectant 100ml,FDA Advisory No. 2021-0194,2021-02-09
"Menhol, Borneol [as reflected in the package insert]",FDA Advisory No. 2021-0194,2021-02-09
OTC W®,FDA Advisory No. 2021-0194,2021-02-09
Cefradine Capsules 12’s,FDA Advisory No. 2021-0195,2021-02-09
OTC Famotidine Capsules,FDA Advisory No. 2021-0195,2021-02-09
OTC Pudilan Xiaoyan Pian,FDA Advisory No. 2021-0195,2021-02-09
OTC Yatong Yaoshui,FDA Advisory No. 2021-0195,2021-02-09
Zjiachmei® Fuke Honghua 260ml,FDA Advisory No. 2021-0195,2021-02-09
BS® Potassium Sodium Pehydroandroandrographolide Succinate for Injection 200mg,FDA Advisory No. 2021-0196,2021-02-09
Dongyao® Tinidazole Tablets 0.5g,FDA Advisory No. 2021-0196,2021-02-09
Fuyan Kangfu Pian [as reflected in the package insert],FDA Advisory No. 2021-0196,2021-02-09
Lian Yao® Dexamethasone Sodium Phosphate Injection 1ml:5mg,FDA Advisory No. 2021-0196,2021-02-09
Tobramycin Eye Drops 5ml,FDA Advisory No. 2021-0196,2021-02-09
Fuyankang Pian,FDA Advisory No. 2021-0197,2021-02-09
Lansoprazole Enteric-coated Tablets,FDA Advisory No. 2021-0197,2021-02-09
OTC Az® D-Cal® Calcium Supplement With Vitamin D Chewable Tablets 60’s,FDA Advisory No. 2021-0197,2021-02-09
OTC Sodium Cromoglicate Eye Drops,FDA Advisory No. 2021-0197,2021-02-09
Rengongniuhuangjiaxiaozuojiaonang,FDA Advisory No. 2021-0197,2021-02-09
Fp® Glucose Powder,FDA Advisory No. 2021-0198,2021-02-09
HUAN QIU® Sodium Lactate Ringer’s Injection,FDA Advisory No. 2021-0198,2021-02-09
LAIYINER® Probiotic Powder 500 CFU 150g,FDA Advisory No. 2021-0198,2021-02-09
OTC B® C,FDA Advisory No. 2021-0198,2021-02-09
OTC Yansuanyibingqinpian Tablets 10mg,FDA Advisory No. 2021-0198,2021-02-09
Cefotaxime Sodium for Injection 1.0g,FDA Advisory No. 2021-0199,2021-02-09
Cherish® Chlorphenamine Maleate Injection 1ml:10mg,FDA Advisory No. 2021-0199,2021-02-09
OTC Wushicha Keli Sachets 20’s,FDA Advisory No. 2021-0199,2021-02-09
Shyndec® Enalapril Maleate Tablets 10mg,FDA Advisory No. 2021-0199,2021-02-09
Yatai® Ciprofloxacin Hydrochloride Tablets 0.25g,FDA Advisory No. 2021-0199,2021-02-09
Ha Kang® Shading’ Anchun Xiruqi Wuji,FDA Advisory No. 2021-0200,2021-02-09
OTC G® Maxing Zhike Tang Jiang,FDA Advisory No. 2021-0200,2021-02-09
OTC Huo Xiang Zheng Qi Pian,FDA Advisory No. 2021-0200,2021-02-09
OTC South Ocean Yansuan Tebinaifen Penwuji,FDA Advisory No. 2021-0200,2021-02-09
Song Xia® An Tai Wan 6g,FDA Advisory No. 2021-0200,2021-02-09
Changyuan® Shujin Huoxue Pian [as reflected in the package insert],FDA Advisory No. 2021-0211,2021-02-09
OTC Echeng® Fuke’ an Pian [as reflected in the secondary packaging],FDA Advisory No. 2021-0211,2021-02-09
OTC Overseas,FDA Advisory No. 2021-0211,2021-02-09
OTC Yamju® Salicylic Acid and Phenol Plaster [as reflected in the secondary packaging],FDA Advisory No. 2021-0211,2021-02-09
Riyuan Simvastatin Tablets 10mg,FDA Advisory No. 2021-0211,2021-02-09
JINHUI Xianrong Zhuangyang Koufuye [as reflected in the package insert],FDA Advisory No. 2021-0224,2021-02-10
OTC Yinqiao Jiedu Keli Sachets 10’s [as reflected in the package insert],FDA Advisory No. 2021-0224,2021-02-10
Pulen® Compound Ketoconazole Lotion for Scalp Disorders,FDA Advisory No. 2021-0224,2021-02-10
Pule’ an Pian [as reflected in the package insert],FDA Advisory No. 2021-0224,2021-02-10
OTC Compound Dexamethasone Acetate Gel,FDA Advisory No. 2021-0267,2021-02-23
OTC Ibuprofen Tablets,FDA Advisory No. 2021-0267,2021-02-23
OTC Pudilan Xiaoyan Pian [as reflected in the package insert],FDA Advisory No. 2021-0267,2021-02-23
OTC Qing Huo Pian,FDA Advisory No. 2021-0267,2021-02-23
