Product Name,Advisory Number,Date Posted
Nimodipine Tablets 20mg,FDA Advisory No. 2020-1271,2020-07-22
OTC Bausch + Lomb,FDA Advisory No. 2020-1271,2020-07-22
OTC Clotrimazole Cream [as reflected in the secondary packaging] OTC Kemeizuo Rugao [as reflected in the primary packaging],FDA Advisory No. 2020-1271,2020-07-22
OTC Compound Paracetamol and Amantadine Hydrochloride Tablets,FDA Advisory No. 2020-1271,2020-07-22
OTC Cyproheptadine Hydrochloride Cream,FDA Advisory No. 2020-1271,2020-07-22
OTC Fufang Zaoren Jiaonang [as reflected in the package insert],FDA Advisory No. 2020-1271,2020-07-22
OTC Multienzyme Tablets,FDA Advisory No. 2020-1271,2020-07-22
"OTC Paracetamol, Caffein, Atificial Cow-bezoar and Chlorphenamine Maleate Capsules [as reflected in the package insert]",FDA Advisory No. 2020-1271,2020-07-22
OTC Qing Yuan Calcium Gluconate Tablets,FDA Advisory No. 2020-1271,2020-07-22
OTC Sanhuangpian,FDA Advisory No. 2020-1271,2020-07-22
OTC Shibiao Yaoye,FDA Advisory No. 2020-1271,2020-07-22
OTC [Label in Foreign Language],FDA Advisory No. 2020-1271,2020-07-22
Phenolphthalein Tablets 100mg,FDA Advisory No. 2020-1271,2020-07-22
SPH H31020387 [Label in Foreign Language] 0.4g x 80mg,FDA Advisory No. 2020-1271,2020-07-22
Sanglianpai® Sai wei’an Jiaonang,FDA Advisory No. 2020-1271,2020-07-22
Sine® Pipemidic Acid Tablets 0.25g,FDA Advisory No. 2020-1271,2020-07-22
Triamcinolone Acetonide Nasal Spray,FDA Advisory No. 2020-1271,2020-07-22
Viaminate Capsules,FDA Advisory No. 2020-1271,2020-07-22
Vitamin B6 Injection 2ml : 0.1g,FDA Advisory No. 2020-1271,2020-07-22
70% Isopropyl Alcohol (IPA) 1 Gallon,FDA Advisory No. 2020-1300,2020-07-21
Ethyl Alcohol 70% 1 L,FDA Advisory No. 2020-1301,2020-07-21
GEE ETHYL ALCOHOL 70% SOLUTION 500 mL,FDA Advisory No. 2020-1302,2020-07-21
Dexamethasone Acetate Tablets 0.75mg,FDA Advisory No. 2020-1340,2020-07-23
H41021610 [Label in Foreign Language] 0.75mg,FDA Advisory No. 2020-1340,2020-07-23
OTC Fu Fang E Jiao Jiang,FDA Advisory No. 2020-1340,2020-07-23
Chlorphenamine Maleate Injection 1ml:10mg,FDA Advisory No. 2020-1341,2020-07-23
Fen an ka min pian,FDA Advisory No. 2020-1341,2020-07-23
Kelundayaochang® Glucose Injection 20ml:10g,FDA Advisory No. 2020-1341,2020-07-23
